movie,movie_id,guest_names,guest_ids,count
Omar Khayyam,210944,"['Abraham Sofaer', 'Perry Lopez', 'John Abbott']","[135066, 12295, 24826]",3
Dual Alibi,86894,['Abraham Sofaer'],[135066],1
Freedom Radio,235061,['Abraham Sofaer'],[135066],1
Dim'at Ha'Nehamah Ha'Gedolah,329464,['Abraham Sofaer'],[135066],1
Karma,362249,['Abraham Sofaer'],[135066],1
Calling Paul Temple,342576,['Abraham Sofaer'],[135066],1
Twice-Told Tales,47553,['Abraham Sofaer'],[135066],1
The House of the Spaniard,223657,['Abraham Sofaer'],[135066],1
The Admiral's Secret,380933,['Abraham Sofaer'],[135066],1
Nell Gwyn,328295,['Abraham Sofaer'],[135066],1
4 for Texas,17691,['Abraham Sofaer'],[135066],1
Che!,61411,"['Abraham Sofaer', 'Perry Lopez', 'Sid Haig', 'BarBara Luna']","[135066, 12295, 5695, 15950]",4
Dreyfus,473057,['Abraham Sofaer'],[135066],1
The House Opposite,474176,['Abraham Sofaer'],[135066],1
Stamboul,476230,['Abraham Sofaer'],[135066],1
The Flag Lieutenant,478296,['Abraham Sofaer'],[135066],1
The Flying Squad,478459,['Abraham Sofaer'],[135066],1
Trek Nation,81899,['Gene Roddenberry'],[1745],1
Roddenberry's Trek,353848,['Gene Roddenberry'],[1745],1
The Fantasy Film Worlds of George Pal,147234,['Gene Roddenberry'],[1745],1
50 Years of Star Trek,411500,['Gene Roddenberry'],[1745],1
Star Trek 25th Anniversary Special,269768,['Gene Roddenberry'],[1745],1
The War Wagon,27277,"['Robert Walker, Jr.', 'Miko Mayama', 'Valora Noland']","[15626, 15724, 16019]",3
The Spectre of Edgar Allan Poe,28647,"['Robert Walker, Jr.']",[15626],1
Beware! The Blob,40983,"['Robert Walker, Jr.', 'Richard Webb']","[15626, 10161]",2
Ensign Pulver,42785,"['Robert Walker, Jr.']",[15626],1
Young Billy Young,39295,"['Robert Walker, Jr.', 'Paul Fix']","[15626, 8496]",2
Don Juan ou si Don Juan était une femme...,82969,"['Robert Walker, Jr.']",[15626],1
The Happening,76018,"['Robert Walker, Jr.']",[15626],1
La Route de Salina,79717,"['Robert Walker, Jr.']",[15626],1
The Devonsville Terror,98012,"['Robert Walker, Jr.']",[15626],1
Killers Three,121382,"['Robert Walker, Jr.']",[15626],1
The Face of Eve,125784,"['Robert Walker, Jr.', 'Celeste Yarnall']","[15626, 15954]",2
The Passover Plot,152256,"['Robert Walker, Jr.']",[15626],1
Hambone and Hillie,146455,"['Robert Walker, Jr.']",[15626],1
Angkor: Cambodia Express,190921,"['Robert Walker, Jr.']",[15626],1
