Movie,count,guest_ids,guest_names,movie_id
The Big Heat,3,"[83913, 15693, 15942]","['Joseph Mell', 'John Crawford', 'Celia Lovsky']",14580
13 West Street,3,"[168061, 39770, 1947]","['Clegg Hoyt', 'Adam Roarke', 'Stanley Adams']",134834
Colossus: The Forbin Project,3,"[151482, 15992, 151846]","['Byron Morrow', 'William Schallert', 'Willard Sage']",14801
Messiah of Evil,3,"[15659, 3339, 15988]","['Marianna Hill', 'Elisha Cook Jr.', 'Charles Dierkop']",24923
The Undefeated,3,"[8496, 16071, 16108]","['Paul Fix', 'Gregg Palmer', 'Lee Meriwether']",18972
The Hawaiians,3,"[19107, 15724, 16103]","['Harry Townes', 'Miko Mayama', 'Keye Luke']",85290
A Star Shall Rise,3,"[15693, 16004, 16055]","['John Crawford', 'Anthony Caruso', 'Richard Hale']",308764
Don't Bother to Knock,3,"[15949, 15949, 3339]","['Vic Perrin', 'Vic Perrin', 'Elisha Cook Jr.']",24005
Trial,3,"[14508, 3339, 13786]","['John Hoyt', 'Elisha Cook Jr.', 'Whit Bissell']",114083
Winchester 73,3,"[14508, 8496, 15950]","['John Hoyt', 'Paul Fix', 'BarBara Luna']",320919
The Movie Murderer,3,"[3339, 15999, 9596]","['Elisha Cook Jr.', 'Steve Sandor', 'Jeff Corey']",327961
"Blackbeard, the Pirate",3,"[10925, 15953, 16004]","['Torin Thatcher', 'Keith Andes', 'Anthony Caruso']",120509
Between Heaven and Hell,3,"[41719, 16017, 291]","['Biff Elliot', 'Skip Homeier', 'Frank Gorshin']",84567
The Silencers,3,"[122004, 14732, 69763]","['Roger C. Carmel', 'James Gregory', 'Nancy Kovack']",21779
Unbelievable!!!!!,3,"[246, 15954, 15983]","['Gary Lockwood', 'Celeste Yarnall', 'Beverly Washburn']",329621
Shoot Out,3,"[8496, 14732, 9596]","['Paul Fix', 'James Gregory', 'Jeff Corey']",79735
W,3,"[15620, 2652, 165373]","['Alfred Ryder', 'Ken Lynch', 'Michael Witney']",333125
Return to the Batcave: The Misadventures of Adam and Burt,3,"[15973, 291, 16108]","['Julie Newmar', 'Frank Gorshin', 'Lee Meriwether']",20776
The Sword and the Sorcerer,3,"[15998, 16097, 9596]","['Joseph Ruskin', 'Jay Robinson', 'Jeff Corey']",13945
Murder by Contract,3,"[83913, 16090, 16126]","['Joseph Mell', 'Kathie Browne', 'Phillip Pine']",18930
Hoodlum Empire,3,"[15992, 13786, 16126]","['William Schallert', 'Whit Bissell', 'Phillip Pine']",26294
Clambake,3,"[14732, 98241, 16047]","['James Gregory', 'Angelique Pettyjohn', 'Marj Dusay']",26299
That Darn Cat!,3,"[166047, 16086, 291]","['Karl Held', 'Liam Sullivan', 'Frank Gorshin']",20723
The Sweet Ride,3,"[1007561, 15988, 12310]","['Michael Forest', 'Charles Dierkop', 'Warren Stevens']",280134
Brute Force,3,"[14508, 13786, 9596]","['John Hoyt', 'Whit Bissell', 'Jeff Corey']",28297
Salem's Lot,3,"[3339, 15956, 121041]","['Elisha Cook Jr.', 'David Soul', 'Julie Cobb']",11343
The Greatest,3,"[1213153, 127601, 16017]","['Malachi Throne', 'Lloyd Haynes', 'Skip Homeier']",69903
For Love or Money,3,"[14733, 8499, 15973]","['Leslie Parrish', 'William Windom', 'Julie Newmar']",242835
Skeeter,3,"[6451, 16097, 16119]","['Michael J. Pollard', 'Jay Robinson', 'Charles Napier']",87517
Serpent of the Nile,3,"[15693, 15973, 16074]","['John Crawford', 'Julie Newmar', 'Michael Ansara']",114771
The Bat People,3,"[15628, 15635, 15993]","['Paul Carr', 'Stewart Moss', 'Michael Pataki']",28159
Somebody Up There Likes Me,3,"[15975, 1947, 151846]","['Michael Dante', 'Stanley Adams', 'Willard Sage']",28000
"Life, Liberty and Pursuit on the Planet of the Apes",3,"[15650, 1820, 19107]","['Michael Strong', 'Mark Lenard', 'Harry Townes']",385902
The Last Day,3,"[13869, 16031, 16066]","['Morgan Woodward', 'Logan Ramsey', 'Rex Holman']",282662
Deep Space,3,"[1007561, 15973, 16119]","['Michael Forest', 'Julie Newmar', 'Charles Napier']",27662
The Green Girl,3,"[90520, 15954, 16108]","['Susan Oliver', 'Celeste Yarnall', 'Lee Meriwether']",286334
One More Train to Rob,3,"[15999, 16014, 16096]","['Steve Sandor', 'Diana Muldaur', 'France Nuyen']",142148
The War Wagon,3,"[15626, 15724, 16019]","['Robert Walker, Jr.', 'Miko Mayama', 'Valora Noland']",27277
Hell on Frisco Bay,3,"[12295, 1947, 16004]","['Perry Lopez', 'Stanley Adams', 'Anthony Caruso']",72778
The Boston Strangler,3,"[9805, 16028, 9596]","['Sally Kellerman', 'William Marshall', 'Jeff Corey']",26690
Ironside,3,"[15655, 161255, 153458]","['Kim Darby', 'Barbara Anderson', 'Gene Lyons']",377718
Gambit,3,"[122004, 15676, 24826]","['Roger C. Carmel', 'Arnold Moss', 'John Abbott']",28270
Sol Madrid,3,"[12295, 1793, 16074]","['Perry Lopez', 'Ricardo Montalban', 'Michael Ansara']",139328
Princess of the Nile,3,"[30551, 102426, 16074]","['Jeffrey Hunter', 'Billy Curtis', 'Michael Ansara']",200386
Bengal Brigade,3,"[15676, 10925, 16074]","['Arnold Moss', 'Torin Thatcher', 'Michael Ansara']",210674
A House Is Not a Home,3,"[122004, 1007561, 1947]","['Roger C. Carmel', 'Michael Forest', 'Stanley Adams']",216661
Tower of London,3,"[15719, 1214908, 16055]","['Charles Macaulay', 'Robert Brown', 'Richard Hale']",43014
Escape from the Planet of the Apes,3,"[1793, 8499, 16089]","['Ricardo Montalban', 'William Windom', 'Jason Evers']",1687
Butch Cassidy and the Sundance Kid,3,"[9600, 15988, 9596]","['Ted Cassidy', 'Charles Dierkop', 'Jeff Corey']",642
Tank Battalion,3,"[14733, 15950, 291]","['Leslie Parrish', 'BarBara Luna', 'Frank Gorshin']",102092
The Gene Krupa Story,3,"[90520, 15942, 16102]","['Susan Oliver', 'Celia Lovsky', 'Yvonne Craig']",43108
The Manchurian Candidate,3,"[14732, 14733, 15972]","['James Gregory', 'Leslie Parrish', 'Reggie Nalder']",982
Heaven with a Gun,3,"[15746, 19107, 98241]","['Barbara Babcock', 'Harry Townes', 'Angelique Pettyjohn']",1790
Outrage,3,"[1820, 151529, 16126]","['Mark Lenard', 'Jason Wingreen', 'Phillip Pine']",103432
