Movie,count,guest_ids,guest_names,movie_id
The Honeymoon Machine,6,"[2652, 94550, 1221841, 726, 50835, 29313]","['Ken Lynch', 'Jim Hutton', 'Simon Scott', 'Jack Weston', 'Marcel Hillaire', 'Dean Jagger']",34768
Tora! Tora! Tora!,6,"[1936, 29719, 123380, 6577, 9110, 9112]","['Martin Balsam', 'Edward Andrews', 'Frank Aletter', 'James Whitmore', 'Richard Erdman', 'Neville Brand']",11165
Tumbleweed,6,"[12355, 4078, 100944, 112722, 153443, 19400]","['Russell Johnson', 'Lee Van Cleef', 'Ralph Moody', 'Ross Elliott', 'Phil Chambers', 'Roy Roberts']",249134
The Iron Sheriff,6,"[96722, 82863, 932308, 97257, 1221520, 30115]","['Byron Foulger', 'John Dehner', 'Ferris Taylor', 'Marjorie Bennett', 'Constance Ford', 'Frank Ferguson']",242629
The Raid,6,"[4307, 15992, 12356, 12356, 40185, 18391]","['Claude Akins', 'William Schallert', 'Douglas Spencer', 'Douglas Spencer', 'James Best', 'Lee Marvin']",74074
Wild in the Sky,6,"[51230, 13259, 4966, 6463, 158936, 16035]","['Michael Fox', 'James Daly', 'Keenan Wynn', 'Dub Taylor', ""Tim O'Connor"", 'Robert Lansing']",278827
Hollywood Out-takes and Rare Footage,6,"[70985, 3090, 2672, 30512, 1937, 55278]","['Gig Young', 'Richard Conte', 'Jack Carson', 'Edgar Buchanan', 'Mickey Rooney', 'Jackie Cooper']",188991
Giant,6,"[12313, 8229, 96284, 2778, 1216876, 8496]","['Earl Holliman', 'Rod Taylor', 'Alexander Scourby', 'Dennis Hopper', 'Barbara Barrie', 'Paul Fix']",1712
Tammy Tell Me True,6,"[30228, 40623, 49357, 30512, 106102, 112722]","['Cecil Kellaway', 'Hayden Rorke', 'Bill Mumy', 'Edgar Buchanan', 'Henry Corden', 'Ross Elliott']",62392
The Velvet Alley,6,"[96284, 141694, 5250, 1358282, 40176, 26028]","['Alexander Scourby', 'David White', 'Jack Klugman', 'John Conwell', 'Art Carney', 'Eddie Ryder']",462052
Dirty Dingus Magee,6,"[82863, 5732, 4965, 89043, 83149, 8496]","['John Dehner', 'Henry Jones', 'Jack Elam', 'Lois Nettleton', 'Willis Bouchey', 'Paul Fix']",48408
Hitler,6,"[71146, 135066, 14786, 45252, 5403, 15942]","['Ted Knight', 'Abraham Sofaer', 'John Mitchum', 'Theo Marcuse', 'Richard Basehart', 'Celia Lovsky']",102155
Alice in Wonderland,6,"[5251, 7505, 83975, 13593, 113905, 10169]","['Jack Warden', 'Roddy McDowall', 'Arte Johnson', 'Jonathan Winters', 'Ann Jillian', 'Telly Savalas']",34573
Around the World in Eighty Days,6,"[1662013, 8516, 8635, 14966, 34448, 99461]","['Bernard Sell', 'John Carradine', 'Buster Keaton', 'Andy Devine', 'Dick Wessel', 'Cedric Hardwicke']",2897
Saintly Sinners,6,"[34609, 97257, 95274, 111593, 89938, 83149]","['Paul Bryar', 'Marjorie Bennett', 'Clancy Cooper', 'Ron Hagerthy', 'Earle Hodgins', 'Willis Bouchey']",197344
Stranger on Horseback,6,"[34597, 53010, 8516, 133832, 56444, 19400]","['Kevin McCarthy', 'John McIntire', 'John Carradine', 'George Keymas', 'Robert Cornthwaite', 'Roy Roberts']",109376
Cry Terror!,6,"[40056, 108289, 5250, 15992, 151882, 9112]","['Inger Stevens', 'Barney Phillips', 'Jack Klugman', 'William Schallert', 'Jonathan Hole', 'Neville Brand']",4926
Don't Go Near the Water,6,"[12313, 119381, 12309, 4966, 8632, 3461]","['Earl Holliman', 'Howard Smith', 'Anne Francis', 'Keenan Wynn', 'Fred Clark', 'Jack Albertson']",109441
Lost Flight,6,"[153675, 12309, 84330, 126903, 127610, 137389]","['Paul Comi', 'Anne Francis', 'Dee Carroll', 'Joseph Bernard', 'Linden Chiles', 'William Mims']",248738
Dear Heart,6,"[2652, 40208, 14575, 113952, 113655, 80206]","['Ken Lynch', 'Patricia Barry', 'Barbara Nichols', 'Alice Pearce', 'Sandra Gould', 'Richard Deacon']",101226
Johnny Guitar,6,"[8516, 151470, 2778, 6462, 30115, 8496]","['John Carradine', 'Ben Cooper', 'Dennis Hopper', 'Denver Pyle', 'Frank Ferguson', 'Paul Fix']",26596
M,6,"[14831, 120447, 15992, 15992, 55821, 119245]","['David Wayne', 'Walter Burke', 'William Schallert', 'William Schallert', 'Luther Adler', 'Sherry Jackson']",36373
Incident at Phantom Hill,6,"[64212, 99754, 4307, 127610, 6462, 8496]","['Dan Duryea', 'William Phipps', 'Claude Akins', 'Linden Chiles', 'Denver Pyle', 'Paul Fix']",145966
Spencer's Mountain,6,"[85944, 40623, 6463, 5047, 19110, 100019]","['Rusty Lane', 'Hayden Rorke', 'Dub Taylor', 'Veronica Cartwright', 'Virginia Gregg', 'Wally Cox']",44916
How To Frame A Figg,6,"[23586, 29719, 93798, 1104977, 78793, 34973]","['Joe Flynn', 'Edward Andrews', 'James Millhollin', 'Robert P. Lieb', 'John Archer', 'Bob Hastings']",44157
"Hush... Hush, Sweet Charlotte",6,"[30228, 40212, 11025, 2101, 90230, 30115]","['Cecil Kellaway', 'Dave Willock', 'Agnes Moorehead', 'Percy Helton', 'Helen Kleeb', 'Frank Ferguson']",10299
Summer and Smoke,6,"[12313, 115460, 18646, 53010, 97257, 85409]","['Earl Holliman', 'Malcolm Atterbury', 'Thomas Gomez', 'John McIntire', 'Marjorie Bennett', 'Max Showalter']",94917
Black Patch,6,"[7074, 21877, 18870, 138091, 8260, 1947]","['Peter Brocco', 'Sebastian Cabot', 'Ned Glass', 'House Peters Jr.', 'Strother Martin', 'Stanley Adams']",214602
Kiss Them for Me,6,"[71781, 99754, 1214830, 30519, 145861, 80206]","['Ben Wright', 'William Phipps', 'Larry Blyden', 'Nancy Kulp', 'Suzy Parker', 'Richard Deacon']",52367
Rebel Without a Cause,6,"[34609, 138091, 2646, 2778, 34448, 2782]","['Paul Bryar', 'House Peters Jr.', 'Edward Platt', 'Dennis Hopper', 'Dick Wessel', 'Ian Wolfe']",221
No Time for Sergeants,6,"[8608, 5737, 119381, 93798, 101479, 6463]","['Murray Hamilton', 'Raymond Bailey', 'Howard Smith', 'James Millhollin', 'Jean Willes', 'Dub Taylor']",19968
Invitation to a Gunfighter,6,"[20604, 1153, 8260, 50762, 94779, 3798]","['Janice Rule', 'John A. Alonzo', 'Strother Martin', 'Mike Kellin', 'Curt Conway', 'Pat Hingle']",55150
Rascal,6,"[5732, 5247, 83826, 49357, 44998, 9110]","['Henry Jones', 'John Fiedler', 'Robert Emhardt', 'Bill Mumy', 'Steve Forrest', 'Richard Erdman']",52012
No Name on the Bullet,6,"[98458, 1221841, 101898, 1107, 12310, 83149]","['Russ Bender', 'Simon Scott', 'Edgar Stehli', 'R.G. Armstrong', 'Warren Stevens', 'Willis Bouchey']",51997
Red Canyon,6,"[44846, 53010, 1213238, 30512, 6462, 31844]","['Howard Duff', 'John McIntire', 'Hank Patterson', 'Edgar Buchanan', 'Denver Pyle', 'Ann Blyth']",180715
Lust for Gold,6,"[46617, 70985, 40623, 50971, 30512, 2101]","['Ida Lupino', 'Gig Young', 'Hayden Rorke', 'Arthur Hunnicutt', 'Edgar Buchanan', 'Percy Helton']",94139
The Blue Gardenia,6,"[130098, 3090, 98503, 9110, 15942, 30115]","['Lela Bliss', 'Richard Conte', 'Hugh Sanders', 'Richard Erdman', 'Celia Lovsky', 'Frank Ferguson']",21594
Julius Caesar,6,"[99754, 14508, 6933, 2782, 14564, 34748]","['William Phipps', 'John Hoyt', 'Alan Napier', 'Ian Wolfe', 'George Macready', 'Douglass Dumbrille']",18019
Kiss Me Deadly,6,"[82615, 97257, 4965, 8260, 9599, 2101]","['Maxine Cooper', 'Marjorie Bennett', 'Jack Elam', 'Strother Martin', 'Cloris Leachman', 'Percy Helton']",18030
40 Pounds of Trouble,6,"[29719, 34597, 153675, 12310, 90230, 27517]","['Edward Andrews', 'Kevin McCarthy', 'Paul Comi', 'Warren Stevens', 'Helen Kleeb', 'Howard Morris']",42990
Fourteen Hours,6,"[20604, 11025, 113655, 14108, 5403, 46711]","['Janice Rule', 'Agnes Moorehead', 'Sandra Gould', 'Joyce Van Patten', 'Richard Basehart', 'Robert Keith']",54139
